name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,listing_type,listed_city,high_performer
Jalsa,1,1,4.1,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,1
Spice Elephant,1,0,4.1,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800.0,Buffet,Banashankari,1
San Churro Cafe,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,0
Addhuri Udupi Bhojana,0,0,3.7,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300.0,Buffet,Banashankari,0
Grand Village,0,0,3.8,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600.0,Buffet,Banashankari,0
Timepass Dinner,1,0,3.8,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600.0,Buffet,Banashankari,0
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,Mysore Road,Casual Dining,,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,0
Onesta,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,1
Penthouse Cafe,1,0,4.0,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700.0,Cafes,Banashankari,1
Smacznego,1,0,4.2,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0,Cafes,Banashankari,1
Cafe Shuffle,1,1,4.2,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600.0,Cafes,Banashankari,0
The Coffee Shack,1,1,4.2,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,0
Caf-Eleven,0,0,4.0,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450.0,Cafes,Banashankari,1
San Churro Cafe,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Cafes,Banashankari,0
Cafe Vivacity,1,0,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650.0,Cafes,Banashankari,0
Catch-up-ino,1,0,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,0
Kirthi's Biryani,1,0,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700.0,Cafes,Banashankari,0
T3H Cafe,0,0,3.9,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300.0,Cafes,Banashankari,0
360 Atoms Restaurant And Cafe,1,0,3.1,13,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,0
The Vintage Cafe,1,0,3.0,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Cafes,Banashankari,0
Woodee Pizza,1,0,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,0
Cafe Coffee Day,0,0,3.6,28,Banashankari,Cafe,,"Cafe, Fast Food",900.0,Cafes,Banashankari,0
My Tea House,1,0,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,0
Hide Out Cafe,0,0,3.7,31,Banashankari,Cafe,,Cafe,300.0,Cafes,Banashankari,0
CAFE NOVA,0,0,3.2,11,Banashankari,Cafe,,"Cafe, Bakery",600.0,Cafes,Banashankari,0
Coffee Tindi,1,0,3.8,75,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200.0,Cafes,Banashankari,0
Sea Green Cafe,0,0,3.3,4,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,0
Cuppa,0,0,3.3,23,Banashankari,Cafe,,"Cafe, Fast Food",550.0,Cafes,Banashankari,0
Srinathji's Cafe,0,0,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,0
Redberrys,1,0,4.0,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600.0,Cafes,Banashankari,1
Foodiction,1,0,2.8,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,0
Sweet Truth,1,0,3.9,35,Banashankari,Delivery,,"Bakery, Desserts",500.0,Delivery,Banashankari,0
Ovenstory Pizza,1,0,3.9,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750.0,Delivery,Banashankari,0
Faasos,1,0,4.2,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,1
Behrouz Biryani,1,0,3.9,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650.0,Delivery,Banashankari,0
Fast And Fresh,1,0,2.8,91,Banashankari,Quick Bites,,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,0
Szechuan Dragon,1,0,4.2,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600.0,Delivery,Banashankari,1
Empire Restaurant,1,0,4.4,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,1
Maruthi Davangere Benne Dosa,1,0,4.0,17,Banashankari,Quick Bites,,South Indian,150.0,Delivery,Banashankari,0
Chaatimes,1,0,3.8,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200.0,Delivery,Banashankari,0
Havyaka Mess,0,0,3.9,28,Banashankari,Mess,,South Indian,300.0,Delivery,Banashankari,0
McDonald's,1,0,3.9,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500.0,Delivery,Banashankari,0
Domino's Pizza,1,0,3.9,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800.0,Delivery,Banashankari,0
Onesta,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Delivery,Banashankari,1
Hotboxit,0,0,3.8,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,0
Kitchen Garden,1,0,3.6,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300.0,Delivery,Banashankari,0
Recipe,1,0,4.0,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,1
Beijing Bites,1,0,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850.0,Delivery,Banashankari,0
Tasty Bytes,1,0,3.1,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,0
Petoo,0,0,3.7,21,Banashankari,Quick Bites,,North Indian,450.0,Delivery,Banashankari,0
Shree Cool Point,1,0,4.1,28,Vijay Nagar,Quick Bites,,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,0
Corner House Ice Cream,0,0,4.3,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400.0,Delivery,Banashankari,1
Biryanis And More,1,0,4.0,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,1
Roving Feast,0,0,4.0,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,1
FreshMenu,1,0,3.9,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,0
Banashankari Donne Biriyani,1,0,3.8,104,Banashankari,Quick Bites,,"Biryani, Fast Food",300.0,Delivery,Banashankari,0
Wamama,1,1,4.2,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,1
Five Star Chicken,0,0,3.6,55,Banashankari,Quick Bites,,"Fast Food, Burger",200.0,Delivery,Banashankari,0
XO Belgian Waffle,1,0,3.7,17,Banashankari,Dessert Parlor,,"Desserts, Beverages",400.0,Delivery,Banashankari,0
Peppy Peppers,0,0,4.2,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800.0,Delivery,Banashankari,1
Goa 0 Km,1,1,3.6,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,0
Chinese Kitchen,1,0,3.8,58,Basavanagudi,Quick Bites,,Chinese,150.0,Delivery,Banashankari,0
1947,0,1,4.0,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850.0,Delivery,Banashankari,1
Cake of the Day,0,0,3.7,78,Banashankari,"Bakery, Dessert Parlor",,Bakery,150.0,Delivery,Banashankari,0
Kabab Magic,1,0,4.1,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,1
Namma Brahmin's Idli,1,0,3.6,34,Jayanagar,Quick Bites,,South Indian,100.0,Delivery,Banashankari,0
Gustoes Beer House,0,0,4.1,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,1
Sugar Rush,0,0,3.8,39,Banashankari,Bakery,,"Bakery, Desserts",300.0,Delivery,Banashankari,0
Burger King,1,0,3.2,71,Basavanagudi,Quick Bites,,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari,0
The Good Bowl,1,0,3.6,6,Banashankari,"Takeaway, Delivery",,"Italian, North Indian, Biryani",500.0,Delivery,Banashankari,0
The Biryani Cafe,0,0,4.1,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,1
LSD Cafe,0,0,2.9,84,Banashankari,Delivery,,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari,0
Rolls On Wheels,0,0,3.6,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,0
Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150.0,Delivery,Banashankari,1
Devanna Dum Biriyani Centre,1,0,3.6,28,Banashankari,Quick Bites,,"Biryani, South Indian",300.0,Delivery,Banashankari,0
Kolbeh,0,0,3.7,22,Banashankari,Quick Bites,,Fast Food,500.0,Delivery,Banashankari,0
